scrip_code,symbol
543174,11GPG
543173,11DPR
543172,COSPOWER
543171,ROJL
543170,08ADD
543169,08DPR
543168,08AQR
543156,08DPD
543155,08AQD
543154,08QPR
543153,08AGG
543152,08QPD
543151,08ABB
543150,08GPG
543149,08BPB
543148,08AMR
543147,08AMD
543146,08MPR
543145,08ADR
543144,08MPD
543066,SBICARD
543065,SMAUTO
543064,COHANCE
542938,OCTAVIUSPL
542934,CBPL
542933,UNIVPHOTO
542931,VARDHANCFL
542922,NEXT50
542921,MIDCAPIETF
542920,SUMICHEM
542919,ARTEMISMED
542918,GIANLIFE
542911,ASSAMENT
542907,PRINCEPIPE
542906,EASUN
542905,HINDWAREAP
542904,UJJIVANSFB
542867,CSBBANK
542865,ANUROOP
542864,MOUNT
542863,ABSLBANETF
542862,SHAHLON
542857,GREENPANEL
542852,VISHWARAJ
542850,GOBLIN
542830,IRCTC
542812,FLUOROCHEM
542803,VEL
542802,GALACTICO
542801,MISQUITA
542774,MUFIN
542773,IIFLCAPS
542772,360ONE
542771,NOVATEOR
542770,ALPHALOGIC
542760,SWSOLAR
542759,SPANDANA
542758,PVTBANIETF
542752,AFFLE
542747,SNXT50BEES
542730,BANKIETF
542729,DCMNVL
542728,SKIEL
542727,CPML
542726,INDIAMART
542725,SBC
542721,ARL
542694,PARSHVA
542685,DGCONTENT
542684,PPL
542682,HARISH
542679,DEL
542678,CHCL
542670,AEPL
542669,BMW
542668,EVANS
542666,GKP
542665,NEOGEN
542655,VIKASLIFE
542654,VRFILMS
542652,POLYCAB
542651,KPITTECH
542650,METROPOLIS
542649,RVNL
542628,NSL
542627,CHANDNIMACH
542602,EMBASSY
542599,ROOPSHRI
542597,MSTCLTD
542592,HBEL
542580,AARTECH
542579,AGOL
542544,JYOTIN
542543,ENERGYINF
542524,AIHL
542513,SNXT50BETA
542503,MAHIP
542484,ARVINDFASN
542477,GLAAMUP
542460,ANUP
542459,KRANTI
542446,JONJUA
542437,ANMOL
542399,CHALET
542383,RITCO
542376,SPACAPS
542367,XELPMOC
542351,GLOSTERLTD
542337,SPENCERS
542333,RPSGVENT
542332,HIKLASS
542323,KPIGREEN
542285,AXITA
542248,DECCAN
542233,TREJHARA
542232,SRD
542231,NILASPACES
542230,ABSLNN50ET
542216,DALBHARAT
542206,NIVAKA
542176,ARYAN
542155,DGL
542146,SKIFL
542145,RONI
542141,TECHNOE
542131,NIFTYETF
542123,PHOSPHATE
542066,ATGL
542057,BCPL
542046,VIVIDM
542034,SMGOLD
542025,SUNRETAIL
542020,AKI
542019,SHUBHAM
542013,DOLFIN
542012,A1L
542011,GRSE
541988,AAVAS
541983,INNOVATIVE
541974,MANORAMA
541973,MACH
541972,SETFSN50
541967,SKYGOLD
541956,IRCON
541945,RANJEET
541929,SGIL
541890,SPACEINCUBA
541865,ASRL
541809,NEXT50IETF
541799,SMEL
